"","Reservoir","Site","DateTime","Depth_m","TP_ugL","TN_ugL","Flag_TP","Flag_TN","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4","Flag_SRP","Flag_NO3NO2","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"451","FCR","100","2019-08-19 12:00:00",0.1,25.4,273,"3","0",5,17,3,"0","3","0",1.3,3.7,5.1,0.3,0,0,0,"0"
"452","FCR","200","2019-08-19 12:00:00",0.1,35.6,107,"3","3",31,6,37,"0","0","0",2.1,4.9,7,0.2,0,0,0,"0"
"453","FCR","50","2019-08-19 12:00:00",0.1,24.9,480,"3","0",12,9,3,"3","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"454","FCR","50","2019-08-19 12:00:00",1.6,NA,NA,NA,NA,13,13,4,"3","3","0",6.2,5.8,12,0.452,0,0,0,"0"
"455","FCR","50","2019-08-19 12:00:00",3.8,30.6,194,"3","3",11,4,3,"3","0","0",1.9,4.3,6.2,0.2,0,0,0,"0"
"456","FCR","50","2019-08-19 12:00:00",5,16.8,146,"3","3",127,5,3,"3","0","0",1.2,4.3,5.5,0.2,0,0,0,"0"
"457","FCR","50","2019-08-19 12:00:00",6.2,22.2,377,"3","0",229,10,22,"3","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"458","FCR","50","2019-08-19 12:00:00",8,26,468,"3","0",413,4,6,"0","0","0",1.3,5,6.3,0.5,7,7,7,"7"
"459","FCR","50","2019-08-19 12:00:00",9,30.9,521,"3","0",422,4,7,"0","0","0",1.6,4.8,6.4,0.5,0,0,0,"0"
"460","FCR","1","2019-08-22 12:00:00",0.1,32.9,698,"7, 3","7",14,10,264,"3","3","0",2.7,8,10.7,0.3,0,0,0,"0"
"461","FCR","100","2019-08-22 12:00:00",0.1,40,431.5,"7","7",6,19,3,"0","3","0",1.2,3.5,4.7,0.2,0,0,0,"0"
"462","FCR","101","2019-08-22 12:00:00",0.1,45.1,338,"7","7",0,21,146,"7, 3","7","7, 3",1.4,3.3,4.7,0.2,7,7,7,"7"
"463","FCR","102","2019-08-22 12:00:00",0.1,22.9,280.8,"7, 3","7",106,16,3,"3","3","0",0.2,5.5,5.7,0.2,0,0,0,"0"
"464","FCR","20","2019-08-22 12:00:00",0.1,28,756,"7, 3","7",4,7,3,"0","0","0",4.4,4.3,8.7,0.3,0,0,0,"0"
"465","FCR","200","2019-08-22 12:00:00",0.1,55,223.5,"7","7",24,4,32,"3","0","0",1.2,3.9,5,0.1,0,0,0,"0"
"466","FCR","30","2019-08-22 12:00:00",0.1,27.8,676.5,"7, 3","7",5,8,8,"0","0","0",5.3,3.4,8.7,0.4,0,0,0,"0"
"467","FCR","45","2019-08-22 12:00:00",0.1,36.8,874,"7, 3","7",4,18,3,"0","3","0",5.5,3.5,9,0.3,0,0,0,"0"
"468","FCR","50","2019-08-22 12:00:00",0.1,33.9,840.8,"7, 3","7",8,8,10,"0","0","0",5,3.2,8.2,0.4,0,0,0,"0"
"469","FCR","50","2019-08-22 12:00:00",1.6,NA,NA,NA,NA,8,7,5,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"470","FCR","50","2019-08-22 12:00:00",5,35.5,567,"3","0",196,3,6,"3","0","0",1.7,4.1,5.8,0.3,0,0,0,"0"
"471","FCR","50","2019-08-22 12:00:00",9,54.5,735,"0","0",551,7,7,"0","0","0",1.7,5.7,7.5,0.7,0,0,0,"0"
"472","FCR","99","2019-08-22 12:00:00",0.1,26.9,259,"7, 3","7",5,17,3,"0","3","0",1.6,3.3,4.9,0.2,0,0,0,"0"
"473","FCR","100","2019-08-28 12:00:00",0.1,25.1,219,"3","0",6,18,3,"0","3","0",1.2,3.5,4.7,0.2,0,0,0,"0"
"474","FCR","50","2019-08-28 12:00:00",0.1,21.7,579,"3","0",10,9,3,"3","0","0",4.2,3.5,7.7,0.3,0,0,0,"0"
"475","FCR","50","2019-08-28 12:00:00",1.6,24.1,699,"3","0",0,7,10,"4, 3","0","0",5.3,2.9,8.2,0.3,0,0,0,"0"
"476","FCR","50","2019-08-28 12:00:00",3.8,28,463.5,"3","0",24,9,3,"3","0","0",2.6,4,6.6,0.3,0,0,0,"0"
"477","FCR","50","2019-08-28 12:00:00",5,35.4,399,"3","0",181,7,3,"3","0","0",1.6,4.6,6.2,0.3,0,0,0,"0"
"478","FCR","50","2019-08-28 12:00:00",6.2,26,479,"3","0",417,7,3,"0","0","0",2.4,4.3,6.8,0.5,0,0,0,"0"
"479","FCR","50","2019-08-28 12:00:00",8,34.3,859.5,"3","0",596,5,3,"0","0","0",1.4,5.2,6.5,0.6,0,0,0,"0"
"480","FCR","50","2019-08-28 12:00:00",9,56.6,1609.5,"0","3",1060,10,3,"3","3","0",2.7,5.7,8.3,1.2,0,0,0,"0"
"481","FCR","100","2019-09-02 12:00:00",0.1,21.6,126,"3","3",3,19,3,"3","3","0",1.2,3.7,4.9,0.3,0,0,0,"0"
"482","FCR","200","2019-09-02 12:00:00",0.1,35.5,228,"3","0",22,11,35,"3","3","0",1.5,5.3,6.8,0.1,0,0,0,"0"
"483","FCR","50","2019-09-02 12:00:00",0.1,26.5,651,"3","0",20,7,3,"3","0","0",4.8,3.7,8.5,0.4,0,0,0,"0"
"484","FCR","50","2019-09-02 12:00:00",1.6,35.3,810,"3","0",9,7,3,"0","0","0",4.8,3.7,8.5,0.4,0,0,0,"0"
"485","FCR","50","2019-09-02 12:00:00",3.8,40.4,628.5,"0","0",20,12,4,"3","3","0",NA,NA,NA,NA,NA,NA,NA,NA
"486","FCR","50","2019-09-02 12:00:00",5,38.3,552,"3","0",318,4,4,"0","0","0",2.6,4,6.7,0.4,0,0,0,"0"
"487","FCR","50","2019-09-02 12:00:00",6.2,35.2,664.5,"3","0",646,9,3,"0","0","0",1.7,5.3,7,0.7,0,0,0,"0"
"488","FCR","50","2019-09-02 12:00:00",8,39.1,933,"3","0",775,7,25,"0","0","0",2.1,5.4,7.5,0.8,0,0,0,"0"
"489","FCR","50","2019-09-02 12:00:00",9,63.2,2209.5,"0","0",1650,10,3,"3","3","0",4.3,6,10.3,1.9,0,0,0,"0"
"490","FCR","100","2019-09-11 12:00:00",0.1,28.1,223.5,"3","0",0,24,3,"4, 3","0","0",1.1,3.9,4.9,0.2,0,0,0,"0"
"491","FCR","50","2019-09-11 12:00:00",0.1,22.7,559.5,"3","0",8,7,0,"0","0","4, 3",5.2,3.4,8.6,0.3,0,0,0,"0"
"492","FCR","50","2019-09-11 12:00:00",1.6,24.5,658.5,"3","0",4,7,3,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"493","FCR","50","2019-09-11 12:00:00",3.8,38,357,"3","0",35,3,8,"0","0","0",2.4,4.3,6.7,0.2,0,0,0,"0"
"494","FCR","50","2019-09-11 12:00:00",5,34.7,675,"3","0",591,4,3,"0","0","0",1.4,5,6.4,0.6,0,0,0,"0"
"495","FCR","50","2019-09-11 12:00:00",6.2,42.6,672,"0","0",500,8,3,"0","0","0",1.6,4.9,6.4,0.6,0,0,0,"0"
"496","FCR","50","2019-09-11 12:00:00",8,40.3,1012.5,"0","3",630,3,3,"0","0","0",1,5.8,6.7,0.7,0,0,0,"0"
"497","FCR","50","2019-09-11 12:00:00",9,33.2,862.5,"3","0",686,2,3,"0","0","0",1.2,5.7,6.8,0.7,0,0,0,"0"
"498","FCR","100.1","2019-09-11 12:00:00",0.1,36.1,226.5,"7, 3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","FCR","100","2019-09-20 12:00:00",0.1,28.2,183,"3","3",5,20,124,"7","7, 3","7, 3",1,3.6,4.6,0.2,7,7,7,"7"
"500","FCR","20","2019-09-20 12:00:00",0.1,26.6,616.5,"7, 3","7",21,9,3,"3","0","0",4.7,3.8,8.5,0.3,0,0,0,"0"
"501","FCR","30","2019-09-20 12:00:00",0.1,NA,NA,NA,NA,23,8,3,"3","0","0",4.7,3.9,8.7,0.4,0,0,0,"0"
"502","FCR","45","2019-09-20 12:00:00",0.1,27.2,1019,"3","3",27,2,5,"3","3","0",4,3.3,7.4,0.3,0,0,0,"0"
"503","FCR","50","2019-09-20 12:00:00",0.1,25.1,583.5,"3","0",39,8,27,"0","0","0",4.5,4,8.4,0.5,0,0,0,"0"
"504","FCR","50","2019-09-20 12:00:00",1.6,33.9,581,"3","0",40,6,5,"0","0","0",4.6,4.1,8.7,0.4,0,0,0,"0"
"505","FCR","50","2019-09-20 12:00:00",3.8,43.6,594,"0","0",77,9,4,"0","0","0",3.3,4.5,7.9,0.4,0,0,0,"0"
"506","FCR","50","2019-09-20 12:00:00",5,63.7,852,"0","0",484,4,3,"0","0","0",3.4,4.3,7.7,0.6,0,0,0,"0"
"507","FCR","50","2019-09-20 12:00:00",6.2,38.6,1054.5,"3","3",850,4,7,"0","0","0",1.2,5.8,7,0.9,0,0,0,"0"
"508","FCR","50","2019-09-20 12:00:00",8,38.8,1129.5,"3","3",876,2,4,"0","0","0",1.2,5.8,7,0.9,0,0,0,"0"
"509","FCR","50","2019-09-20 12:00:00",9,39.8,1114.5,"3","3",883,3,3,"0","0","0",1.2,5.8,6.9,0.9,0,0,0,"0"
"510","FCR","100","2019-09-27 12:00:00",0.1,22.1,107,"3","3",11,19,3,"3","3","0",1.1,4.1,5.2,0.2,0,0,0,"0"
"511","FCR","50","2019-09-27 12:00:00",0.1,20.2,604.5,"3","0",16,8,8,"3","0","0",5,3.8,8.7,0.4,0,0,0,"0"
"512","FCR","50","2019-09-27 12:00:00",1.6,16.9,663,"3","0",6,7,4,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"513","FCR","50","2019-09-27 12:00:00",3.8,33.3,495,"3","0",101,4,8,"3","0","0",2.5,4.6,7.1,0.3,0,0,0,"0"
"514","FCR","50","2019-09-27 12:00:00",5,67.4,875,"0","0",749,12,8,"0","3","0",2.2,4.7,6.9,0.8,0,0,0,"0"
"515","FCR","50","2019-09-27 12:00:00",6.2,36.8,877.5,"3","0",731,9,0,"0","0","4, 3",2.7,4.7,7.3,0.9,0,0,0,"0"
"516","FCR","50","2019-09-27 12:00:00",8,49.1,1007,"0","3",1000,3,6,"3","0","0",1.3,5.9,7.2,1.1,0,0,0,"0"
"517","FCR","50","2019-09-27 12:00:00",9,33.2,1099.5,"3","3",923,4,3,"0","0","0",1.6,5.9,7.4,0.9,0,0,0,"0"
"518","FCR","100.1","2019-09-27 12:00:00",0.1,70.9,450.8,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","FCR","1","2019-10-04 12:00:00",0.1,24.2,289,"7, 3","7",17,12,278,"3","3","0",1,13.9,14.9,0.4,0,0,0,"0"
"520","FCR","100","2019-10-04 12:00:00",0.1,23.9,79,"7, 3","7",4,18,64,"0","3","0",3.2,2.6,4.9,0,7,7,7,"7, 3"
"521","FCR","101","2019-10-04 12:00:00",0.1,26.6,132,"7, 3","7, 3",5,20,110,"7","7, 3","7, 3",1.2,4.1,5.3,0.2,7,7,7,"7"
"522","FCR","102","2019-10-04 12:00:00",0.1,13.8,222,"7, 3","7",24,7,3,"3","0","0",0.5,5.3,5.8,0.2,0,0,0,"0"
"523","FCR","20","2019-10-04 12:00:00",0.1,26.1,1000,"7, 3","7, 3",0,15,3,"4, 3","3","0",8.4,3.8,12.2,0.8,0,0,0,"0"
"524","FCR","200","2019-10-04 12:00:00",0.1,47.8,94.5,"7","7",27,7,26,"3","0","0",1.6,5.3,6.9,0.2,0,0,0,"0"
"525","FCR","30","2019-10-04 12:00:00",0.1,30.8,703.5,"7, 3","7",2,14,0,"3","3","4, 3",7.4,3.7,11.1,0.7,0,0,0,"0"
"526","FCR","45","2019-10-04 12:00:00",0.1,40.9,931,"7","7",3,8,3,"3","0","0",6.6,3.9,10.5,0.5,0,0,0,"0"
"527","FCR","50","2019-10-04 12:00:00",0.1,29.9,812.5,"7, 3","7",7,8,6,"0","0","0",6.5,3.6,10.1,0.5,0,0,0,"0"
"528","FCR","50","2019-10-04 12:00:00",1.6,30.2,864,"3","0",6,13,3,"0","3","0",6.5,3.8,10.3,0.6,0,0,0,"0"
"529","FCR","50","2019-10-04 12:00:00",3.8,36.5,606,"3","0",112,4,3,"3","0","0",3.6,4.8,8.3,0.4,0,0,0,"0"
"530","FCR","50","2019-10-04 12:00:00",5,93.8,1354.5,"0","3",820,4,3,"0","0","0",1.9,5.5,7.4,0.9,0,0,0,"0"
"531","FCR","50","2019-10-04 12:00:00",6.2,43.3,1129.5,"0","3",753,6,4,"0","0","0",2.1,5.3,7.5,0.75,7,7,7,"7"
"532","FCR","50","2019-10-04 12:00:00",8,32.6,1159.5,"3","3",1080,3,5,"3","0","0",1.4,6.2,7.6,1.2,0,0,0,"0"
"533","FCR","50","2019-10-04 12:00:00",9,30.8,1384.5,"3","3",1090,3,5,"3","0","0",2.7,5.2,8,1.2,0,0,0,"0"
"534","FCR","99","2019-10-04 12:00:00",0.1,116.5,496.8,"7, 3","7",4,16,63,"0","3","0",1.5,4.2,5.7,0.1,0,0,0,"0"
"535","FCR","100.1","2019-10-04 12:00:00",0.1,80.5,418,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","FCR","100","2019-10-11 12:00:00",0.1,18.5,126,"3","3",8,15,23,"0","3","0",1.1,4.1,5.3,0.1,0,0,0,"0"
"537","FCR","50","2019-10-11 12:00:00",0.1,27.8,834,"3","0",13,9,7,"3","0","0",5.1,4,9.1,0.4,0,0,0,"0"
"538","FCR","50","2019-10-11 12:00:00",1.6,26.8,895.5,"3","0",9,9,5,"0","0","0",5.6,3.5,9.1,0.4,0,0,0,"0"
"539","FCR","50","2019-10-11 12:00:00",3.8,25.3,529.5,"3","0",95,4,4,"0","0","0",3,4.4,7.3,0.3,0,0,0,"0"
"540","FCR","50","2019-10-11 12:00:00",5,64.7,1069.5,"0","3",578,5,4,"0","0","0",2.7,4.8,7.5,0.7,0,0,0,"0"
"541","FCR","50","2019-10-11 12:00:00",6.2,25.1,1324.5,"3","3",1140,5,3,"3","0","0",1,6.3,7.3,1.1,0,0,0,"0"
"542","FCR","50","2019-10-11 12:00:00",8,37.9,1309.5,"3","3",1060,3,7,"3","0","0",1.8,6.1,8,1.3,0,0,0,"0"
"543","FCR","50","2019-10-11 12:00:00",9,29.3,1279.5,"3","3",1150,0,3,"3","4, 3","0",1.1,6.3,7.4,1.3,0,0,0,"0"
"544","FCR","100.1","2019-10-11 12:00:00",0.1,86.1,396.2,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","FCR","100","2019-10-16 12:00:00",0.1,45.9,419,"0","0",5,17,3,"0","3","0",4.4,3.7,8.1,0.1,0,0,0,"0"
"546","FCR","50","2019-10-16 12:00:00",0.1,27.5,891,"3","0",27,5,21,"3","0","0",4.3,3.7,8,0.5,0,0,0,"0"
"547","FCR","50","2019-10-16 12:00:00",1.6,27.2,681,"3","0",30,3,4,"0","0","0",5.2,3.4,8.6,0.3,0,0,0,"0"
"548","FCR","50","2019-10-16 12:00:00",3.8,35.3,662,"3","0",26,5,3,"3","0","0",3.6,4.2,7.8,0.3,0,0,0,"0"
"549","FCR","50","2019-10-16 12:00:00",5,21.3,947,"3","0",26,5,3,"3","0","0",4,4,8,0.4,0,0,0,"0"
"550","FCR","50","2019-10-16 12:00:00",6.2,30.6,1209,"3","3",1150,8,5,"3","0","0",1.6,6,7.6,1.2,0,0,0,"0"
"551","FCR","50","2019-10-16 12:00:00",8,26.3,1013,"3","3",1180,5,8,"3","0","0",0.8,6,6.8,1.2,0,0,0,"0"
"552","FCR","50","2019-10-16 12:00:00",9,24.3,1217,"3","3",1140,0,7,"3","4, 3","0",1.3,6.3,7.7,1.1,0,0,0,"0"
"553","FCR","100.1","2019-10-16 12:00:00",0.1,82.9,424,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","FCR","100","2019-10-23 12:00:00",0.1,19.6,94.5,"3","0",6,15,3,"0","3","0",1.6,3.5,5.1,0.1,0,0,0,"0"
"555","FCR","50","2019-10-23 12:00:00",0.1,26.2,736.5,"3","0",70,0,7,"0","4, 3","0",4,4.3,8.3,0.3,0,0,0,"0"
"556","FCR","50","2019-10-23 12:00:00",1.6,23.8,690,"3","0",61,5,5,"0","0","0",3.8,4.3,8.1,0.3,0,0,0,"0"
"557","FCR","50","2019-10-23 12:00:00",3.8,24.7,775.5,"3","0",61,7,0,"0","0","4, 3",5,3.4,8.4,0.3,0,0,0,"0"
"558","FCR","50","2019-10-23 12:00:00",5,27.2,669,"3","0",NA,NA,NA,NA,NA,NA,4.1,4,8.2,0.4,0,0,0,"0"
"559","FCR","50","2019-10-23 12:00:00",6.2,21.2,949.5,"3","0",704,4,6,"0","0","0",2.6,5.3,7.9,0.8,0,0,0,"0"
"560","FCR","50","2019-10-23 12:00:00",8,23.9,1234.5,"3","3",965,2,8,"0","3","0",1.9,5.7,7.6,1,0,0,0,"0"
"561","FCR","50","2019-10-23 12:00:00",9,22.4,1294.5,"3","3",1170,4,3,"3","0","0",1.8,6.1,7.8,1.2,0,0,0,"0"
"562","FCR","100.1","2019-10-23 12:00:00",0.1,115.3,538,"7, 3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","FCR","50","2019-10-25 12:00:00",0.1,NA,NA,NA,NA,47,4,3,"0","0","0",5.4,3.4,8.8,0.3,0,0,0,"0"
"564","FCR","50","2019-10-25 12:00:00",1.6,NA,NA,NA,NA,46,5,3,"0","0","0",4.1,4.2,8.3,0.3,0,0,0,"0"
"565","FCR","50","2019-10-25 12:00:00",5,NA,NA,NA,NA,170,0,8,"7, 3","7, 4, 3","7",4,4.5,8.5,0.5,0,0,0,"0"
"566","FCR","50","2019-10-25 12:00:00",6.2,NA,NA,NA,NA,717,3,0,"0","0","4, 3",NA,NA,NA,NA,NA,NA,NA,NA
"567","FCR","50","2019-10-25 12:00:00",9,NA,NA,NA,NA,654,4,7,"0","0","0",2.9,5.3,8.2,0.8,0,0,0,"0"
"568","FCR","50","2019-10-28 12:00:00",0.1,NA,NA,NA,NA,13,2,8,"3","3","0",4,0.1,4.2,0.2,0,3,0,"0"
"569","FCR","50","2019-10-28 12:00:00",1.6,NA,NA,NA,NA,13,6,6,"3","0","0",4.4,1,5.3,0.3,0,0,0,"0"
"570","FCR","50","2019-10-28 12:00:00",5,NA,NA,NA,NA,210,3,3,"3","0","0",3.1,2.1,5.2,0.4,0,0,0,"0"
"571","FCR","50","2019-10-28 12:00:00",9,NA,NA,NA,NA,566,4,7,"0","0","0",2.4,4.8,7.2,0.7,0,0,0,"0"
"572","FCR","100","2019-10-30 12:00:00",0.1,30.8,158,"3","3",12,19,7,"3","3","0",2.2,4,6.2,0.1,0,0,0,"0"
"573","FCR","200","2019-10-30 12:00:00",0.1,41.9,137,"0","3",24,4,3,"3","0","0",2.9,4.1,7,0.1,0,0,0,"0"
"574","FCR","50","2019-10-30 12:00:00",0.1,41.9,1244,"0","3",4,11,5,"3","3","0",7,3.9,10.9,0.7,0,0,0,"0"
"575","FCR","50","2019-10-30 12:00:00",1.6,44.4,947,"0","0",7,6,0,"0","0","4, 3",5.9,4.2,10,0.4,0,0,0,"0"
"576","FCR","50","2019-10-30 12:00:00",3.8,22.4,632,"3","0",82,5,5,"0","0","0",3.7,4.4,8,0.3,0,0,0,"0"
"577","FCR","50","2019-10-30 12:00:00",5,20.4,743,"3","0",318,8,9,"0","0","0",2.6,4.7,7.3,0.5,0,0,0,"0"
"578","FCR","50","2019-10-30 12:00:00",6.2,20.1,882,"3","0",453,5,7,"0","0","0",2.7,4.8,7.5,0.6,0,0,0,"0"
"579","FCR","50","2019-10-30 12:00:00",8,23.1,837,"3","0",459,4,9,"0","0","0",3,4.8,7.9,0.7,0,0,0,"0"
"580","FCR","50","2019-10-30 12:00:00",9,22.7,837,"3","0",535,4,3,"0","0","0",3.4,3.8,7.1,0.7,0,0,0,"0"
"581","FCR","100.1","2019-10-30 12:00:00",0.1,103.8,545.5,"7, 3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","FCR","100","2019-11-08 12:00:00",0.1,17.4,111,"3","3",4,14,3,"0","3","0",1.4,3.6,5,0.1,0,0,0,"0"
"583","FCR","50","2019-11-08 12:00:00",0.1,33.5,549,"3","0",78,4,21,"0","0","0",3.8,4.3,8.1,0.35,7,7,7,"7"
"584","FCR","50","2019-11-08 12:00:00",1.6,30.5,537,"3","0",63,4,10,"0","0","0",3.4,4.6,8.1,0.3,0,0,0,"0"
"585","FCR","50","2019-11-08 12:00:00",3.8,27.5,675,"3","0",64,1,3,"0","3","0",4,4.2,8.2,0.4,0,0,0,"0"
"586","FCR","50","2019-11-08 12:00:00",5,33.3,560,"3","0",60,5,3,"0","0","0",4.6,4.1,8.7,0.4,0,0,0,"0"
"587","FCR","50","2019-11-08 12:00:00",6.2,31.2,551,"3","0",55,6,3,"0","0","0",4.3,4.4,8.7,0.4,0,0,0,"0"
"588","FCR","50","2019-11-08 12:00:00",8,28.8,522,"3","0",54,6,3,"0","0","0",4.9,4.2,9.2,0.3,0,0,0,"0"
"589","FCR","50","2019-11-08 12:00:00",9,39.5,546,"3","0",54,9,3,"0","0","0",4.7,4.2,8.9,0.4,0,0,0,"0"
"590","FCR","100.1","2019-11-08 12:00:00",0.1,123.5,690,"7, 3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","FCR","100","2019-11-20 12:00:00",0.1,18.2,137,"3","3",8,18,3,"0","3","0",1.4,3.9,5.3,0.1,0,0,0,"0"
"592","FCR","50","2019-11-20 12:00:00",0.1,27.9,710,"3","0",7,8,3,"0","0","0",4.1,4.1,8.1,0.3,0,0,0,"0"
"593","FCR","50","2019-11-20 12:00:00",1.6,27.7,595.5,"3","0",2,6,3,"3","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"594","FCR","50","2019-11-20 12:00:00",3.8,36.3,503,"3","0",0,9,4,"3","0","0",4.1,4.1,8.2,0.3,0,0,0,"0"
"595","FCR","50","2019-11-20 12:00:00",5,32.3,533,"3","0",9,7,4,"0","0","0",3.6,4.1,7.6,0.2,0,0,0,"0"
"596","FCR","50","2019-11-20 12:00:00",6.2,30.5,437,"3","0",2,5,3,"3","0","0",4.5,4,8.5,0.3,0,0,0,"0"
"597","FCR","50","2019-11-20 12:00:00",8,32.7,426,"3","0",0,2,0,"4, 3","0","4, 3",4.1,4,8.2,0.3,0,0,0,"0"
"598","FCR","50","2019-11-20 12:00:00",9,32.9,534,"3","0",2,12,3,"3","3","0",5.7,4.1,9.7,0.6,0,0,0,"0"
"599","FCR","100.1","2019-11-20 12:00:00",0.1,80.2,279.5,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
